NAME,WEEKS
Ka'imi Fairbairn,"[(1, 'IND', 0.0), (2, 'CHI', 0.0), (5, 'BUF', 0.0), (7, 'GB', 0.0), (10, 'DET', 0.0), (12, 'TEN', 0.0), (13, 'JAX', 0.0)]"
Rachaad White,"[(1, 'WAS', 0.0), (7, 'BAL', 0.0), (8, 'ATL', 0.0), (9, 'KC', 0.0), (10, 'SF', 0.0), (12, 'NYG', 0.0)]"
Jalen Hurts,"[(1, 'GB', 0.0), (2, 'ATL', 0.0), (4, 'TB', 0.0), (6, 'CLE', 0.0), (7, 'NYG', 0.0), (8, 'CIN', 0.0), (9, 'JAX', 0.0), (10, 'DAL', 0.0), (11, 'WAS', 0.0), (12, 'LAR', 0.0), (13, 'BAL', 0.0)]"
Jordan Love,"[(1, 'PHI', 0.0), (4, 'MIN', 0.0), (5, 'LAR', 0.0), (6, 'ARI', 0.0), (7, 'HOU', 0.0), (11, 'CHI', 0.0), (12, 'SF', 0.0), (13, 'MIA', 0.0)]"
David Montgomery,"[(1, 'LAR', 0.0), (2, 'TB', 0.0), (3, 'ARI', 0.0), (4, 'SEA', 0.0), (6, 'DAL', 0.0), (8, 'TEN', 0.0), (9, 'GB', 0.0), (10, 'HOU', 0.0), (11, 'JAX', 0.0), (12, 'IND', 0.0), (13, 'CHI', 0.0)]"
Rashid Shaheed,"[(1, 'CAR', 0.0), (2, 'DAL', 0.0), (4, 'ATL', 0.0), (5, 'KC', 0.0)]"
Alexander Mattison,"[(1, 'LAC', 0.0), (3, 'CAR', 0.0), (6, 'PIT', 0.0), (7, 'LAR', 0.0)]"
Jaylen Waddle,"[(1, 'JAX', 0.0), (12, 'NE', 0.0)]"
Bijan Robinson,"[(1, 'PIT', 0.0), (2, 'PHI', 0.0), (3, 'KC', 0.0), (4, 'NO', 0.0), (6, 'CAR', 0.0), (7, 'SEA', 0.0), (8, 'TB', 0.0), (9, 'DAL', 0.0), (10, 'NO', 0.0), (13, 'LAC', 0.0)]"
Justin Jefferson,"[(1, 'NYG', 0.0), (2, 'SF', 0.0), (3, 'HOU', 0.0), (4, 'GB', 0.0), (5, 'NYJ', 0.0), (7, 'DET', 0.0), (8, 'LAR', 0.0), (9, 'IND', 0.0), (10, 'JAX', 0.0), (11, 'TEN', 0.0), (13, 'ARI', 0.0)]"
Isiah Pacheco,"[(1, 'BAL', 0.0), (2, 'CIN', 0.0)]"
